;sentimen;stemmed
0;0;terima kasih guna layan moga berkah dan sehat selalu wassalamualaikum wrwb raisa end
1;1;whatsapp dengan tanda centang hijau verified
2;0;pribadi dengan tidak beri pin password kata sandi dan kode kepada pihak mana masuk pihak bsi serta laku ganti pin password dan kata sandi cara kala ikut layan resmi contact center bsi
3;0;atau datang kantor cabang bsi dekat dengan bawa ktp buku tabung dan kartu atm harap selalu waspada dan berhatihati ya kak atas segala bentuk modus tipu yang mengatasnamakan bank syariah indonesia mohon selalu jaga kerahasian data
4;1;assalamualaikum ramdhani mohon maaf tidak nyaman apabila saldo sudah potong dan dana belum masuk ke tuju mohon sedia kakak untuk buat lapor adu lalu bsi mobile di menu customer care layan bank syariah indonesia call
5;0;id ini transfer lewat bsi mobile pake bifast kah kak kalau iya bikin lapor coba lewat bsi mobile kakk harus sih proses hari kerja duit balikk
6;0;assalamualaikum kak wempynova mohon maaf atas ketidaknyamanannya kami informasi untuk saat ini tidak dapat tingkat kualitas layan untuk terima dana dari bank lain ke bsi atau transaksi guna echannel bsi seperti bsi mobile bsi net banking mesin
7;0;lalu aplikasi bsi mobile apabila kakak ingin tahu langkahlangkah buat adu lalu bsi mobile dapat hubung kami lalu dm ya kak atau bagai pilih dapat hubung layan bank syariah indonesia call atau unjung kantor cabang bsi
8;-1;transfer dari mandiri ke bsi via mobile bankingbermasalah saldo potong dana ngga masuk gmn nih solusi
9;0;id id saya mau registrasi ulang bsi mobile karena hp saya tadi abis di reset cara seperti apa ya kak
10;0;adu lalu aplikasi bsi mobile apabila ingin tahu langkahlangkah buat adu dapat hubung kami lalu dm atau bagai pilih dapat hubung layan bank syariah indonesia call atau unjung kantor cabang bsi dekat dengan bawa
11;0;aulia assalamualaikum kak aulia terima kasih atas tanggap dan saran kakak ikan namun mohon maaf belum ya kak untuk saat ini tidak dapat tingkat kualitas layan untuk akses bsi mobile kait transaksi pada menu qris dan pantau normal mohon pasti bsi
12;0;jumat sd waktu setempatterkait dengan kendala yang alami sebut mohon pasti untuk aplikasi bsi mobile yang guna telah terupdate dengan guna versi baru untuk ios dan android ya kak dan mohon pasti jaring stabil ya kak
13;0;di bsi mobile apabila kakak kendala laku transaksi dengan guna jaring wifi maka kakak dapat guna jaring provider dan pasti jaring yang guna optimal ya kak apabila butuh informasi lain dapat hubung kami lalu dm
14;0;assalamualaikum kak kazimir mohon maaf atas ketidaknyamanannya kait dengan kendala yang alami sebut mohon pasti untuk aplikasi bsi mobile yang guna telah terupdate dengan guna versi baru untuk ios dan android ya kaknamun apabila masih
15;-1;id min ini aplikasi bsi mobile di perangkat saya error terus mau tarik tunai tanpa kartu nggak bisa pakai qris loading lama buka aplikasi juga nggak bisa kira kira kenapa ya min terima kasih
16;-1;id hai admin bsi mohon baik camera qris gk fungsi di app mobile bsi android smfb ya
17;-1;id assalamualaikum min kenapa ya gak bisa buka aplikasi bsi mobile terang rc rooted device detected padahal kemarin masih buka
18;0;last day diskon di mcdonalds dgn brimo permatamobilex bsi mobile tiap tgl min transaksi
19;0;assalamualaikum kak mohon maaf atas ketidaknyamanannya kak kami informasi saat ini bsi mobile tidak ada kendala dan jalan normal kakak dapat coba kembali dan pasti jaring stabil ya kak
20;0;id ada apa dengan bsi mobile kak
21;-1;bsi mobile tolol error mulu ajg departemen it lu gmna dah kntol
22;-1;id bsi mobile lagi error ya
23;-1;id saya juga gak bisa buka bsi mobile hadehhh id
24;-1;id bsi mobile ada ganggu kah
25;0;assalamualaikum kak alan mohon maaf atas ketidaknyamanannya kak kami informasi saat ini bsi mobile tidak ada kendala dan jalan normal kakak dapat coba kembali dan pasti jaring stabil ya kak
26;0;id saya mau registrasi ulang bsi mobile karena hp saya tadi abis di reset cara seperti apa ya kak
27;-1;buka rekening online di bsi mobile cuma selfie rekening jadi dapat cashback ribu dengan masuk kode referralku abd download aplikasi bsi mobile di playstore dan appstore
28;-1;dengan tingkat guna bsi mobile yang catat besar juta bsi akan terus konsisten transformasi digital guna mudah bagi para nasabah serta kuat layan digital
29;0;udah berapa lama emang kak buat lapor aja dulu lewat bsi mobile bakal balik ntar ke rekening uang
30;-1;bank syariah indonesia terus kuat layan bsi mobile karena dengan transformasi digital rupa strategi lanjut bisnis bank
31;0;id mjb sampe sekarang belum masuk kak bikin lapor ajaa lewat bsi mobile waktu itu aku duit balik kok cuma suruh nunggu hari kerja hatihati kakk ada akun palsu yg reply
32;0;assalamualaikum kak fiqoh baik kak dalam hal ini apabila kakak sudah buat lapor adu mohon untuk tunggu untuk proses selesai ya apabila kakak buat lapor adu lalu bsi mobile maka untuk estimasi adalah hari kerja
33;0;sila kakak buat lapor adu lalu bsi mobile layan bank syariah indonesia call kemudian tekan atau dengan datang kantor cabang bsi dekat pada hari senin sd jumat pukul sd bawa ktp asli buku tabung dan kartu atm
34;0;mana nasabah dapat angsur sampai dengan tahun saat ini untuk aju biaya bsi oto dapat lalu website resmi bank syariah indonesia di bsi mobile atau dengan datang kantor cabang bsi dekat
35;-1;bsi mobile ini kenapa cok
36;-1;id aku pake qris bsi mobile pas transaksi
37;-1;id mjb kalau mau cari cabang dekat ajaaa bisa liat lewat bsi mobile kok
38;0;id blokir dulu kak kartu atmnya bisa lewat bsi mobile atau ke kc sekali ganti kartu yang baru hati hati banyak akun palsu yang bales
39;0;khawatir aplikasi bsi mobile kakak belum belum laku update jadi sila laku aktivasi ulang kembali ya kak jika alami kendala mohon kenan untuk hubung kami lalu dm mohon selalu jaga rahasia data pribadi dan pasti kakak
40;0;assalamualaikum kak yuli terima kasih sudah guna fasilitas bsi mobile dan mohon maaf atas ketidaknyamanannya kait hal sebut kami informasi bsi mobile saat ini sudah di update ke versi baru untuk guna android dan untuk ios ya kak
41;-1;sebuahrasa produk emas dari bsi jadi sumbang besar pada fee based income mobile banking transformasi yang kesan transformasibanksyariah
42;-1;aplikasi bsi mobile keren lo transformasibanksyariah bsi
43;-1;aplikasi bsi mobile keren loh transformasibanksyariah bsi
44;-1;inovasi baru bsi mobile bisa untuk tabung mas kerenn transformasibanksyariah bsi
45;-1;wooww tabung eemas di bsi mobile transformasibanksyariah bsi
46;-1;aplikasi bsi mobile keren loh transformasibanksyariah bsi
47;-1;apalagi mobile banking sangat manfaat transformasibanksyariah bsi
48;-1;nasabah bsi gak perlu pusing mau nabung emas ada di bsi mobile transformasibanksyariah bsi
49;-1;bsi mobile makin mudah transaksi mana kapan transformasibanksyariah bsi
50;-1;bsi mobile mudah semua utama mula transformasibanksyariahbsi
51;-1;tabung emas jadi mudah lalu bsi mobile transformasibanksyariahbsi
52;-1;tabung emas dengan bsi mobile lebih praktis transformasibanksyariahbsi
53;-1;fasilitas mobile banking dari bsi mampu ajak guna untuk bagi dengan mereka yang butuh transformasibanksyariah bsi
54;-1;fasilitas mobile banking dari bsi mampu ajak guna untuk bagi dengan mereka yang butuh transformasibanksyariah bsi
55;-1;transformasibanksyariah bsi berani mulai investasi emas ala gen sama bsi mobile mantap
56;1;mantep banget nih atas kerja transformasibanksyariah bsi sekarang kita bisa investasi emas di bsi mobile loh
57;1;sama dengan bsi mobile mari investasi uang lalu investasi emas transformasibanksyariah bsi
58;-1;id coba cek di akun bsi mobile transaksi akhir soal cashbacknya di aku udah masuk tapi ga ada pemberitahuan
59;-1;aku udah masuk tp ada yang sama kaya aku ngga pke akun di satu app bsi mobile tapi yang masuk baru akun doang
60;0;tanya yang garap promo mcd pake bsi mobile cashbacknya udah ada yg masuk
61;1;serta model kembang layan bentuk aplikasi asabri mobile dan layan asabri link sampai oleh staf adum asabri lhokseumawe serta materi kena produk dan layan perban bsi sampai oleh bapak heri dari bsi kc bireuen simpang iv
62;0;id aku juga pernah gin kak langsung bikin lapor aja lewat bsi mobile biar uang kembali lagi
63;-1;bsi mobile memang sangat mudah transaksi nasabah
64;-1;bsi mobile memang sangat mudah transaksi nasabah
65;-1;bsi hasil manfaat bsi mobile dan qris untuk mudah layan kepada konsumen
66;-1;bsi mobile memang sangat mudah transaksi nasabah
67;0;kemarin aku via bank bsi mobile masukin virtual account kak awal ke menu bayar abistu ke ziswaf pilih human initiative
68;-1;lalu kita bisa manfaat teknologi dari bsi mobile app dan qris jika ingin laku zakat serta kelola
69;-1;bsi mobile memang sangat mudah transaksi nasabah
70;-1;lalu kita bisa manfaat teknologi dari bsi mobile app dan qris jika ingin laku zakat serta kelola
71;-1;transformasi digital bank bsi lalu manfaat bsi mobile dan qris mudah urus masjid dalam kelola transisi
72;-1;bsi mobile memang sangat mudah transaksi nasabah
73;-1;bsi mobile memang sangat mudah transaksi nasabah
74;-1;bsi mobile memang sangat mudah transaksi nasabah
75;-1;bsi mobile memang sangat mudah transaksi nasabah
76;-1;bsi mobile memang sangat mudah transaksi nasabah
77;-1;lalu manfaat bsi mobile dan qris maka semua transaksi digital akan jadi lebih mudah
78;-1;dengan bsi mobile dan aris zakat pun bisa cashless
79;-1;lalu kita bisa manfaat teknologi dari bsi mobile app dan qris jika ingin laku zakat serta kelola
80;-1;dengan bsi mobile dan aris zakat pun bisa cashless
81;-1;lalu kita bisa manfaat teknologi dari bsi mobile app dan qris jika ingin laku zakat serta kelola
82;-1;transformasi digital bsi lalu manfaat bsi mobile dan qris mudah urus masjid
83;1;transformasi digital bsi lalu manfaat bsi mobile dan qris mudah urus masjid dalam kelola transaksi
84;1;salur zakat infaq sedekah dan wakaf dapat guna transformasi digital bank syariah indonesia dengan manfaat bsi mobile dan qris
85;0;bsi manfaat bsi mobile dan qris
